Fri Nov 03 2023 12:25:04 GMT+0000 (Coordinated Universal Time) - Run Time: 3400ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 3, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        1558        1416         22
        2023        3311         30
        2041        1078         20
        2124        1346         39
        2153        1454         27
        2168        3064         20
        2177        1010         10
        2201        2061         17
        2241        1629         12
        2271        1263         18
        3135        3024         64
        4030        1121         20
        4036        4055         18
        4251        4297         41
        4254        1316         12
        4255        4238         18
        4293        4249         20
        5084        4046         42
        7089        6088         23
        8126        8141         24
        8156        5010          9
        8156        8231         10
        8215        8262         12
        8232        8549         14
        8360        8352         18
        8402        8422         15
        8522        4253         10
        8604        4074         18
        8709        4241         20
        8805        3233         16
        8816        3184         15
        8828        8813         16
        8830        1584         20
        8835        4297         17
        8895       17522          9
        8905        4156         12
        9101        2191         11

TABLE    : start_time (525)

   ggh4_orig   ggh4_dest      total
        1207        1524          7
        1299        1340         16
        1383        3159         35
        1420        4311          5
        1496        3070         33
        2014        1545         14
        2198        3117         15
        3072        1115         45
        3285        1395         24
        3414        1385         28
        4187        4130          5
        4244        4149         21
        4310        4234         39
        4311        4253         49
        4341        1524         14
        5129        1111         18
        6172        5075         70
        6228        4006         33
        8156        8274         16
        8255        8313         21
        8281        8352         12
        8360        8537         18

TABLE    : start_time (530)

   ggh4_orig   ggh4_dest      total
        1001        4118          5
        1012        1469         14
        1057        1069         71
        1063        4378          4
        1119        2003          5
        1212        1126         15
        1238        3024         40
        1243        1352         12
        1252        1166         22
        1253        4294          8
        1263        1371         36
        1274        1324         16
        1276        1081         22
        1307        1569         14
        1308        1341         13
        1323        3062          6
        1331        3440          9
        1353        1320         10
        1359        3100         46
        1366        1516         48
        1370        1405         13
        1377        1436         12
        1387        3126         23
        1388        1524         45
        1409        1251         43
        1418        3078         14
        1422        3064         18
        1423        1217         11
        1443        1454         28
        1446        1251         41
        1452        1133         19
        1472        1203         13
        1480        1353         22
        1483        1134          5
        1483        1411         40
        1485        1296         13
        1485        2011         14
        1494        3092         19
        1499        1327         10
        1518        1064         29
        1523        1411         40
        1525        2044         10
        1526        1248         58
        1529        1242         16
        1539        1020          6
        1556        1199         27
        1583        3064         13
        1591        1015         17
        1604        4172         16
        1605        4225         13
        1614        3158          4
        1619        1469         16
        1620        4282         13
        1626        4145         15
        1628        1602         43
        2009        3171         14
        2013        1321         31
        2019        1163         87
        2019        4301         13
        2020        1465         17
        2032        2266         25
        2032        4100         10
        2039        2131         26
        2055        1362         40
        2074        1552         15
        2095        4156         70
        2117        3355         25
        2118        1411         10
        2121        1515         13
        2134        2013         12
        2143        1320         10
        2149        4234          8
        2150        1610         56
        2150        2007         16
        2150        3129         36
        2152        3017         30
        2156        1152         26
        2177        1044         13
        2177        1454         14
        2177        2268         13
        2177        4230         15
        2194        2003         60
        2204        2058          7
        2212        1324         22
        2215        2052          9
        2218        2011         29
        2223        5111         22
        2235        1090         26
        2241        1470         39
        2265        2003         20
        2287        2099         11
        2292        1524          9
        2298        2277         63
        3032        3194         22
        3034        4136          9
        3051        4156         20
        3056        1477          6
        3060        3222         17
        3076        3269         20
        3091        3022         25
        3097        1363         20
        3097        4379         10
        3119        1277         13
        3120        3115          6
        3137        3100          8
        3148        1383         15
        3148        3373         13
        3173        1383          6
        3179        1461         20
        3189        1199         14
        3195        3008         22
        3195        3100         17
        3211        1478         26
        3224        3186         12
        3258        3100         23
        3281        3244         14
        3287        4004         23
        3290        2107         15
        3392        3238         16
        3394        1230         25
        3397        4149         21
        3398        3064         29
        3419        5137         15
        3422        3105         30
        3429        1287         20
        3431        1107         20
        3443        4360         50
        3447        1420         24
        3466        3356         20
        3474        4386          8
        3477        1511         14
        4002        1029         15
        4014        3009         14
        4014        5144         11
        4024        4378          4
        4026        4046         10
        4032        1076         29
        4032        4109         20
        4038        1623         21
        4040        1430         18
        4044        3022         11
        4046        4208         24
        4052        1282         24
        4052        5174          8
        4053        1010         27
        4053        4044         21
        4061        5119         37
        4064        2061         10
        4078        4298         15
        4081        1597         13
        4081        4384         16
        4090        1520         16
        4098        4156         36
        4098        4378         25
        4098        5041         17
        4110        5112         11
        4114        3024          6
        4125        1473         15
        4148        4147         57
        4149        4332         21
        4162        4206         18
        4164        4136         92
        4164        5074         33
        4173        4236         23
        4173        4238         23
        4174        1284         17
        4174        4219         21
        4174        8242         32
        4181        2028          4
        4185        1430          5
        4187        1289         38
        4196        4154         53
        4196        4196         27
        4200        3088         42
        4210        4182         55
        4210        4325         41
        4210        5096         21
        4211        4206         29
        4221        2079          9
        4223        1322         31
        4226        4159         22
        4228        4230         26
        4245        4252         25
        4245        5018         20
        4247        1452         14
        4251        4114         46
        4260        1320         15
        4260        4199         50
        4266        4172         45
        4269        4261         10
        4272        4345         33
        4273        4079          6
        4273        4247         20
